,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
1021,8041,733,2,3,3,737,64,94,23,38,67571.2875,5760.89453125,-0.5015662908554077,1436903014400.0,931054092288.0
1022,7862,3648,2,14,3,2757,86,93,88,42,59969.7125,5029.6171875,-0.6011620163917542,1479431946240.0,1081180422144.0
1023,6349,3739,61,207,3,2394,92,74,64,6,78421.95,4902.0609375,-0.6252418756484985,1504887177216.0,1179441037312.0
1024,7559,2307,463,10,1,374,57,55,87,21,134751.575,6689.89453125,-0.46875929832458496,3700073693184.0,732878995456.0
1025,7418,3746,3,48,3,574,7,99,71,24,79073.39375,7404.18515625,-0.2567700743675232,1327624880128.0,659727253504.0
1026,7595,2275,19,63,3,609,24,98,0,25,75794.34375,6960.578125,-0.3272739052772522,1441633796096.0,730444660736.0
1027,7677,2482,14,6,0,737,30,21,22,0,225516.4,8174.76875,-0.3220781087875366,1434977697792.0,381778395136.0
1028,8189,3821,483,49,1,4735,60,49,8,49,139405.0,6507.591796875,-0.4851081967353821,4071233683456.0,752382246912.0
1029,1018,3916,0,15,35,751,98,26,35,63,135690.55,5152.16171875,-0.6248588562011719,204609912832.0,2079903711232.0
1030,7770,1788,636,1,3,610,61,2,3,21,184200.0625,5846.48046875,-0.48940107226371765,4631174316032.0,600981372928.0
1031,6965,92,140,15,2,7685,0,33,0,14,201732.0125,8096.703125,-0.1944991797208786,2209615970304.0,310090858496.0
1032,6441,2722,27,478,3,864,93,24,25,44,131401.3625,4916.237109375,-0.6274376511573792,1291007950848.0,1311195004928.0
1033,8034,3776,483,1,3,163,59,17,1,9,166437.425,5885.2078125,-0.4820324182510376,3877465227264.0,615521452032.0
1034,7861,51,995,0,2,7652,9,59,0,6,147675.3875,7652.1890625,-0.24955053627490997,6741987688448.0,416264945664.0
1035,1072,2360,28,2,12,5381,98,27,23,53,134666.075,5156.846875,-0.6029312610626221,526272692224.0,1307561951232.0
1036,7810,3677,47,1,0,7780,27,26,63,0,213452.05,8058.10546875,-0.3191685974597931,1884019490816.0,394076749824.0
