,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx,seed_number
802,7807,3565,716,78,5,5307,62,35,27,42,186888.575,72125.2875,-0.6487003564834595,5218561425408.0,868932845568.0,1
803,66,3493,7,179,4,3204,3,65,12,16,277463.6,168654.825,-0.29984718561172485,164211195904.0,706518777856.0,1
804,4859,2818,15,957,26,970,100,24,35,29,162860.825,88293.34375,-0.7055535912513733,958040375296.0,2506574790656.0,1
805,57,3189,1,301,11,387,24,81,31,12,264194.1,211208.6,-0.09804287552833557,29160323072.0,1269321302016.0,1
806,260,3478,5,450,3,7641,69,97,28,95,160581.35,115106.8875,-0.46702611446380615,349604413440.0,1538783838208.0,1
807,6155,3189,728,72,1,2886,62,93,27,42,146754.1875,78624.1625,-0.6470893025398254,4904103968768.0,931987587072.0,1
808,7288,3721,1278,13,4,1508,6,90,99,94,194672.7,62516.96875,-0.5563002824783325,7867066744832.0,730756087808.0,1
809,7999,3246,1902,85,3,3027,48,61,28,11,181903.875,79630.74375,-0.6247589588165283,11241133178880.0,763575599104.0,1
810,6912,3437,756,106,0,2492,1,36,95,1,273765.6,83149.41875,-0.5511351227760315,5164869091328.0,378794049536.0,1
811,5509,3307,1033,35,2,3707,98,94,54,70,108266.25,68461.5,-0.7054401636123657,6383197487104.0,1181306847232.0,1
812,111,3926,5,445,25,685,62,50,0,94,214098.65,120366.975,-0.48322850465774536,69911683072.0,2029412417536.0,1
813,7810,2908,61,1045,60,2740,99,69,54,78,120859.625,61494.05625,-0.7060361504554749,1771840208896.0,3829387493376.0,1
814,5,3178,1,429,8,259,39,62,17,59,271581.575,195105.5625,-0.0817679762840271,15438720000.0,1350303875072.0,1
815,4353,3494,6,1106,7,7466,100,34,11,90,150970.7,71128.1625,-0.70993971824646,1060849844224.0,2113991475200.0,1
816,384,3327,0,544,58,363,98,93,52,95,144061.5625,125026.4,-0.45243239402770996,80088956928.0,3609534660608.0,1
817,118,3937,11,818,2,1471,65,93,33,53,166304.15,125107.5625,-0.5092542171478271,130523529216.0,1743593668608.0,1
818,466,3319,54,80,5,1298,24,81,21,46,229263.4,148842.25,-0.3556038439273834,404952317952.0,892677259264.0,1
819,67,3453,1,808,4,819,35,93,11,70,213739.975,153736.625,-0.2895134687423706,46660485120.0,1638534217728.0,1
820,2548,3224,477,82,5,4372,92,93,62,100,118992.125,73994.68125,-0.696831226348877,3045286215680.0,1371315240960.0,1
821,2452,3126,9,49,3,613,24,97,44,67,187660.7,104641.025,-0.5778450965881348,495286419456.0,873013968896.0,1
822,7933,2883,77,1029,3,3402,99,66,55,78,122658.625,60920.44375,-0.7067824602127075,1899321360384.0,1985463320576.0,1
823,111,3238,0,322,6,482,1,50,47,95,312179.775,155481.775,-0.11990725249052048,36906233856.0,956165914624.0,1
824,7540,3481,506,76,2,7720,69,97,24,64,130945.5,68303.08125,-0.660529375076294,4184908496896.0,1020299051008.0,1
825,7432,3570,1505,194,4,3437,54,56,88,97,176782.2125,58081.825,-0.6352449655532837,9124744003584.0,1054660624384.0,1
826,8050,2908,2,1301,60,3443,99,70,15,49,120933.2125,69512.325,-0.7065088152885437,1537184628736.0,4002945695744.0,1
827,80,3977,5,61,26,685,62,45,2,94,224812.7,126875.575,-0.459325909614563,64515194880.0,1721503842304.0,1
828,500,3462,5,1,4,1316,59,98,28,46,175263.9,142598.4,-0.3942877948284149,160647675904.0,1077560016896.0,1
829,411,3289,6,50,0,694,7,20,15,77,391043.25,157891.8,-0.22674404084682465,127584002048.0,416812597248.0,1
830,6776,3304,1311,83,0,6556,99,87,36,58,117589.725,68868.1875,-0.709587574005127,8131048374272.0,1142196404224.0,1
831,80,3974,6,194,26,338,1,45,50,65,293992.1,136777.9,-0.3756868839263916,56976633856.0,1443963338752.0,1
832,324,3221,6,65,1,761,61,62,15,61,252957.1,171574.9,-0.25180140137672424,114883207168.0,973865484288.0,1
833,7741,3337,497,173,4,627,38,94,69,24,163672.925,78203.66875,-0.6061933040618896,3915065589760.0,955029979136.0,1
834,7811,3478,1478,83,1,729,21,2,28,68,276521.125,73543.0375,-0.5787034034729004,8953691897856.0,446754390016.0,1
835,381,3951,1,1002,34,1347,96,57,41,58,159263.65,110076.15,-0.629166841506958,120583045120.0,2992264445952.0,1
836,7784,3241,59,188,25,3715,70,50,25,33,166871.5125,74324.46875,-0.6603825688362122,1792641859584.0,1683594936320.0,1
837,364,3157,6,61,2,482,6,50,44,61,320610.225,176591.4,-0.10852044075727463,111668477952.0,598575087616.0,1
838,7947,2193,472,75,0,1408,1,93,24,54,213678.925,86860.325,-0.35362401604652405,3851417288704.0,577819639808.0,1
839,827,3941,15,549,60,1088,94,62,62,6,156524.6,122013.0,-0.6961745023727417,260454416384.0,3396908613632.0,1
840,6919,3434,765,117,4,2491,1,37,99,30,255324.7,76066.35,-0.5503061413764954,5212131557376.0,547812900864.0,1
841,7563,2692,821,75,6,7884,64,1,57,84,211192.2,62201.475,-0.6533386707305908,5807695462400.0,883984891904.0,1
842,959,3730,25,989,3,1088,8,62,53,32,246634.45,119291.65,-0.5418341159820557,334632976384.0,1421023510528.0,1
843,1547,3481,485,66,5,2795,91,98,60,5,123873.175,113903.5375,-0.6944482922554016,2854463209472.0,1266345967616.0,1
844,4220,3562,1521,76,1,3363,43,62,3,4,202641.225,100660.9125,-0.6169474124908447,8644819156992.0,681517449216.0,1
845,83,3713,6,816,26,301,31,93,10,65,212914.3,152812.425,-0.3545512855052948,56149118976.0,2349120094208.0,1
846,4089,3945,482,428,4,7908,100,94,34,8,109617.8625,90000.23125,-0.7100389003753662,3468136808448.0,1515189960704.0,1
847,8124,2797,1206,90,0,1740,0,5,35,15,307943.6,83602.14375,-0.5480126142501831,7652421664768.0,237993639936.0,1
848,6459,3850,1046,115,56,7524,100,88,95,58,107638.325,63485.8125,-0.7103331685066223,6754377662464.0,2955733368832.0,1
849,4747,2933,246,76,1,7626,18,4,11,84,290356.9,79281.9875,-0.5788874626159668,2364074622976.0,444662153216.0,1
850,7356,3490,264,114,4,2179,2,35,3,1,258797.35,89890.1625,-0.54999178647995,2711702470656.0,455121043456.0,1
851,7272,3658,830,50,2,1562,6,53,35,61,236006.6,75107.2,-0.5558563470840454,5572490952704.0,513829699584.0,1
852,4600,3448,845,579,4,3952,92,92,9,33,117236.5375,85628.39375,-0.6959406137466431,5271338352640.0,1610714710016.0,1
853,182,3049,1,946,4,247,97,88,74,72,172944.775,162501.325,-0.2247791439294815,45813116928.0,2170272874496.0,1
854,4242,3481,126,1106,6,7893,100,45,60,94,142449.0875,65720.8375,-0.710447371006012,1671503937536.0,2144200687616.0,1
855,884,2965,6,77,0,1066,2,9,21,49,396333.7,153880.4,-0.3125666081905365,223494406144.0,310672785408.0,1
856,3903,3857,1918,85,4,3091,15,4,9,6,284454.275,101450.3375,-0.5722044706344604,10612353531904.0,426837999616.0,1
857,4482,3242,1549,47,2,1364,19,62,10,2,223811.95,103852.3125,-0.5763424038887024,8760864014336.0,541658873856.0,1
858,65,3510,23,45,2,1461,6,35,19,35,327916.075,170772.225,-0.2084934562444687,182372450304.0,460549324800.0,1
859,7175,3313,1919,55,4,3084,38,36,33,46,214330.875,74712.0625,-0.6090649366378784,11186808553472.0,691225886720.0,1
860,1920,3267,48,1452,69,3444,98,81,4,92,126373.7875,88017.725,-0.705418586730957,705630699520.0,4606325161984.0,1
861,3734,3323,7,483,58,268,84,83,12,61,136425.4,91731.63125,-0.6784008741378784,695631282176.0,3277472399360.0,1
862,647,3230,25,114,11,3652,70,29,9,46,225857.225,133220.925,-0.48454558849334717,373854699520.0,1183910461440.0,1
863,7563,2748,961,51,6,307,71,1,57,87,205158.275,64561.7375,-0.6582581996917725,6248086896640.0,910876147712.0,1
864,64,3997,6,101,0,428,0,36,51,63,351551.35,140503.8875,-0.3809466063976288,57474564096.0,495092400128.0,1
865,64,3322,0,988,59,371,92,83,3,94,175531.825,154877.95,-0.29439792037010193,24675203072.0,3952402759680.0,1
866,403,3094,1,217,1,988,6,26,53,61,348091.05,155548.875,-0.22750906646251678,111316484096.0,598098968576.0,1
867,8068,3445,910,49,7,1731,24,49,30,74,216396.8,69588.29375,-0.5848171710968018,6126824325120.0,773339807744.0,1
868,181,3049,1,946,4,9,30,87,21,73,250137.15,188611.0,-0.06315629184246063,36956798976.0,1736023474176.0,1
869,7040,3174,254,75,1,637,1,93,35,46,205281.7,82445.4,-0.5463778376579285,2549240823808.0,599394091008.0,1
870,887,2965,6,77,0,1236,25,6,74,48,364449.15,138850.075,-0.36524757742881775,230218268672.0,477143629824.0,1
871,7687,3222,1453,595,7,4500,100,95,14,34,103294.1,72791.4125,-0.7089163064956665,8941673119744.0,1746728648704.0,1
872,415,3968,0,800,26,154,1,45,53,64,283090.5,122186.2125,-0.46337831020355225,77861117952.0,1960039809024.0,1
873,889,3942,30,115,11,292,90,34,50,40,189518.7625,120534.625,-0.6877942085266113,319009325056.0,1343734546432.0,1
874,504,3997,6,126,0,731,5,60,26,63,289838.725,124529.2875,-0.5057857036590576,145123213312.0,642264924160.0,1
875,7821,3147,1541,51,2,1364,18,62,13,61,213818.3,75307.1125,-0.5746912956237793,9301158526976.0,597500362752.0,1
876,825,3701,0,461,11,444,22,81,15,47,215264.0,128523.9125,-0.5282555222511292,159813124096.0,1400664883200.0,1
877,379,3453,6,782,7,726,99,62,10,65,167706.5375,135670.5,-0.49472883343696594,123180810240.0,1971560906752.0,1
878,76,3192,0,426,7,226,39,14,34,65,321691.175,181931.75,-0.12365791201591492,21474560000.0,1126442860544.0,1
879,79,3321,6,450,58,338,98,98,51,94,153419.9,144997.125,-0.31488850712776184,56802553856.0,3563749113856.0,1
880,57,3189,1,306,16,387,24,81,31,13,264003.85,210561.9,-0.0982612669467926,29160323072.0,1441540210688.0,1
881,72,3062,6,66,3,1453,1,13,19,33,371889.7,194678.2125,-0.01789943315088749,96259194880.0,380378775552.0,1
882,4480,3922,1649,47,2,2859,19,66,5,13,216367.6,96237.375,-0.5781081318855286,9327053111296.0,561478500352.0,1
883,4486,3434,525,72,1,6476,15,62,58,74,227486.65,77127.575,-0.5743342041969299,3705167151104.0,634651410432.0,1
884,6895,3972,7,97,7,1771,4,44,26,67,245557.1,75832.7375,-0.5516500473022461,1300727595008.0,677818597376.0,1
885,7564,2884,1845,44,5,724,32,1,9,28,255808.95,83172.875,-0.5962968468666077,10789552390144.0,539647213568.0,1
886,8051,2961,1496,10,1,513,1,34,24,55,267047.975,78157.6125,-0.5460811853408813,9079751704576.0,348087877632.0,1
887,64,3325,6,556,5,364,11,81,2,98,263204.075,162016.0375,-0.14181043207645416,55139844096.0,1301880504320.0,1
888,6271,3974,769,11,4,1532,1,93,99,81,197799.275,67385.39375,-0.5474870800971985,5084822372352.0,699059666944.0,1
889,77,3288,1,1085,58,867,97,80,74,20,171065.825,165671.25,-0.34928515553474426,50152321024.0,3943301120000.0,1
890,7933,3478,505,84,7,7887,58,1,34,58,218497.55,68335.95,-0.6432682871818542,4254294081536.0,843020566528.0,1
891,8055,2566,825,205,5,2716,89,67,60,73,132550.325,62624.9375,-0.6706820726394653,5725294166016.0,1279294701568.0,1
892,1,3250,0,1619,55,755,95,94,23,60,163870.15,165252.6,-0.27777358889579773,27716483072.0,4384918077440.0,1
893,7455,3730,256,178,5,6576,4,83,96,89,202550.425,61886.725,-0.5575265288352966,2848378322944.0,861621387264.0,1
894,79,3188,0,306,7,378,24,13,34,13,345509.725,208421.6375,-0.10845956206321716,27541757952.0,853483520000.0,1
895,58,3193,1,426,16,28,39,46,30,65,289681.3,190588.2,-0.09174386411905289,16238080000.0,1561283919872.0,1
896,74,3062,0,844,4,247,33,91,61,73,241776.15,179304.475,-0.058623019605875015,21892481024.0,1698560475136.0,1
897,8055,2665,966,82,7,6440,6,7,61,71,276413.55,67602.45625,-0.5575317144393921,6583066034176.0,583348781056.0,1
898,7168,3954,0,333,58,1459,88,83,31,70,123376.3625,68180.74375,-0.6862828731536865,1301029847040.0,3118717206528.0,1
899,64,3845,0,962,59,892,72,81,5,31,177932.8,150013.0875,-0.4734903573989868,43681280000.0,3705731809280.0,1
900,905,3062,6,77,3,1106,2,13,19,46,333794.15,148253.0,-0.33548322319984436,228609261568.0,411962834944.0,1
901,3455,2747,1989,44,6,7466,100,30,11,100,160182.875,76325.85,-0.7101907730102539,11057485578240.0,1180093906944.0,1
902,64,3301,1,546,4,892,84,80,5,99,181399.025,143301.45,-0.31482163071632385,48801284096.0,1697274396672.0,1
903,1603,3259,7,529,23,3443,90,26,35,30,187299.425,109661.0875,-0.6907708644866943,440490885120.0,2022059802624.0,1
904,79,3202,1,828,37,301,83,82,10,65,193913.25,178224.05,-0.21825529634952545,29852798976.0,3009126334464.0,1
905,176,3237,1,986,59,771,96,97,17,71,152451.55,151836.85,-0.35122784972190857,63884161024.0,3991171760128.0,1
906,4230,3333,570,77,1,6508,73,61,45,74,168734.425,75985.2125,-0.6668152809143066,3892170194944.0,970396663808.0,1
907,951,2833,121,66,3,1589,1,5,43,33,343018.75,146496.9,-0.31364673376083374,843036753920.0,357457690624.0,1
908,3840,3850,47,427,3,652,23,45,3,34,235348.85,100421.9125,-0.5813227891921997,932892114944.0,910815395840.0,1
909,111,3066,6,1613,22,224,88,95,67,88,177554.7,160720.375,-0.17964717745780945,58214400000.0,3325368467456.0,1
910,7816,3333,57,834,4,1379,93,99,44,61,106653.975,67427.45625,-0.694481611251831,1702755172352.0,1882018414592.0,1
911,7678,3302,14,45,6,1319,9,37,27,12,249404.8,87008.0875,-0.5547699928283691,1456383328256.0,535011328000.0,1
912,68,3865,15,819,5,1803,32,79,57,70,213354.45,119840.3875,-0.4293830394744873,154410860544.0,1614191525888.0,1
913,180,3941,1,77,59,891,69,93,62,25,165179.225,140964.4125,-0.5111263990402222,68958076928.0,2987492114432.0,1
914,5312,3256,25,83,3,6700,40,34,12,16,219700.55,89329.6375,-0.6138181090354919,1297128882176.0,645698158592.0,1
915,3735,3252,6,482,1,748,85,26,11,51,197016.7625,94975.65,-0.6806893944740295,708195844096.0,1241685426176.0,1
916,6284,3509,953,61,1,1890,57,50,44,34,191699.7375,79534.9375,-0.6378771662712097,6042225737728.0,757213167616.0,1
917,363,3157,6,61,0,1325,1,9,18,50,414228.7,167740.5,-0.191664457321167,142247034880.0,290602221568.0,1
918,3735,2195,510,16,2,3276,19,93,4,2,203660.575,126563.1875,-0.3700830042362213,3380897382400.0,639234080768.0,1
919,7552,3762,1153,46,5,2772,6,66,25,14,221124.35,82983.9375,-0.5573592782020569,7319134404608.0,573317382144.0,1
920,3719,3402,1278,18,6,1299,41,26,19,61,232062.85,89229.26875,-0.6112605929374695,7238151831552.0,742714507264.0,1
921,64,3962,7,35,56,371,63,91,0,63,182156.025,151506.8,-0.42519712448120117,60515201024.0,2860532891648.0,1
922,7994,3184,270,589,4,3840,97,93,21,70,106086.9625,64827.9625,-0.7036002278327942,2914078687232.0,1671126843392.0,1
923,3447,3259,6,35,6,7445,1,29,11,100,274720.9,80960.7625,-0.5475515127182007,902367281152.0,574976819200.0,1
924,3735,2185,47,74,3,589,0,13,19,37,318299.1,130381.775,-0.29221171140670776,912315514880.0,376830066688.0,1
925,7816,3303,314,861,4,2944,99,96,15,61,102697.01875,67577.15,-0.705782413482666,3075686268928.0,1912438259712.0,1
926,3958,3079,1,482,69,4085,89,76,42,34,134680.3625,87829.2875,-0.6917177438735962,843149475840.0,3595897667584.0,1
927,685,3322,4,439,58,1676,84,40,60,79,191898.4375,105700.7,-0.5307950973510742,200865267712.0,3182724120576.0,1
928,8186,3177,774,50,4,1404,57,62,32,63,170383.0625,69798.2625,-0.6369593143463135,5439115755520.0,891641397248.0,1
929,3763,2698,1096,90,0,717,0,2,28,12,342017.425,114477.2625,-0.5377020835876465,6292739981312.0,223314345984.0,1
930,112,2950,6,66,1,413,1,13,47,94,433470.7,202140.3125,0.14683042466640472,65283198976.0,424863268864.0,1
931,3752,2285,385,16,2,3276,19,34,4,13,265452.95,118627.9125,-0.4057244062423706,2743856267264.0,441765232640.0,1
932,8044,2262,646,26,1,1355,2,69,38,46,232907.8,85108.1875,-0.3735620081424713,4757249851392.0,476572385280.0,1
933,415,3964,0,988,26,1917,38,82,51,64,193529.1,108027.9625,-0.54258131980896,142175354880.0,2472485060608.0,1
934,3735,2228,1,16,1,722,18,29,4,25,304275.05,139034.0125,-0.2671446204185486,681647341568.0,422105939968.0,1
935,1655,3320,57,803,4,2179,92,8,0,93,197619.025,90976.75625,-0.6948254108428955,659432407040.0,1652291534848.0,1
936,8088,2286,209,74,3,1612,0,10,44,38,288087.5,84491.675,-0.39162036776542664,2536845082624.0,369594204160.0,1
937,1859,3268,7,558,20,3714,89,42,35,95,169113.325,83700.15,-0.6915377974510193,494941372416.0,2073577127936.0,1
938,65,3465,8,37,3,595,6,35,51,32,335797.8,189942.725,-0.09078194200992584,73980788736.0,501610348544.0,1
939,6155,3177,1311,79,1,6273,32,83,36,58,183966.25,75614.3375,-0.60135418176651,8012621152256.0,759458955264.0,1
940,411,3873,12,944,26,251,30,51,54,94,242269.45,106963.775,-0.49002039432525635,142143340544.0,2321260216320.0,1
941,2,3168,0,928,8,284,56,34,54,67,279773.95,178196.225,-0.1217302531003952,10708480000.0,1796328259584.0,1
942,116,3063,6,50,3,1365,1,49,19,62,326014.3,181876.075,0.005496070254594088,100708483072.0,556084756480.0,1
943,4033,3922,1778,84,3,2860,28,66,5,5,206496.7125,100191.3375,-0.5926370620727539,9909757280256.0,667063615488.0,1
944,8069,3242,497,51,3,1364,57,62,11,60,170911.0875,72508.99375,-0.6364006400108337,3999049711616.0,846518157312.0,1
945,71,3845,0,828,58,1908,88,79,21,20,160509.025,143745.8125,-0.5204513072967529,81963515904.0,3626426957824.0,1
946,3727,2323,702,42,3,3379,15,98,59,1,194810.45,113531.925,-0.4342353045940399,4366301921280.0,704042237952.0,1
947,415,3235,2,544,5,3748,62,61,9,35,211469.1,149160.35,-0.4228896200656891,219210219520.0,1420745768960.0,1
948,8071,3994,1016,117,5,1619,21,61,60,63,208136.2,69405.525,-0.5802145004272461,6665981132800.0,787430899712.0,1
949,4343,3793,1454,85,4,2828,94,60,50,8,141084.5875,88589.80625,-0.6985012888908386,8303673868288.0,1089683849216.0,1
950,8059,3317,240,700,5,7893,96,78,57,94,116404.1375,56901.625,-0.7039526104927063,2919647412224.0,1800456634368.0,1
951,6525,3323,55,1968,59,1396,98,79,53,94,116305.4375,61751.06875,-0.7027866840362549,1468398174208.0,4648591687680.0,1
952,7348,3050,118,77,0,139,2,26,42,15,290829.4,88172.70625,-0.5492316484451294,1888370294784.0,318818123776.0,1
953,956,3302,15,557,4,771,48,80,58,93,187788.1125,100766.84375,-0.5115740895271301,271346565120.0,1482710843392.0,1
954,441,3966,12,1113,24,914,6,60,51,97,251968.925,99514.86875,-0.4861375391483307,171551981568.0,2283191402496.0,1
955,8052,2670,1495,73,6,1528,30,18,7,55,239828.1,75547.74375,-0.5915412306785583,9111832887296.0,668447801344.0,1
956,7807,3986,1150,29,0,3755,0,58,9,62,245232.05,74467.875,-0.5492746233940125,7384025006080.0,410871136256.0,1
957,4479,3889,1646,46,2,3019,47,50,29,13,202033.7875,91873.725,-0.6233396530151367,9317357977600.0,685027491840.0,1
958,3443,3922,1550,83,2,1514,29,26,77,66,247764.0,81314.99375,-0.5935404896736145,8590588903424.0,636038086656.0,1
959,3712,3387,14,467,6,7885,100,97,4,100,105208.8875,72733.2625,-0.7099661231040955,1005509672960.0,1739127783424.0,1
960,7012,3521,974,163,7,6569,35,0,82,89,248019.55,61698.4,-0.6067956686019897,6447166390272.0,838994690048.0,1
961,139,3063,6,50,3,1109,2,54,21,49,323503.45,194336.125,0.022501494735479355,95373426688.0,570703740928.0,1
962,432,2986,6,66,2,610,6,13,19,33,378045.65,201145.3375,-0.06499658524990082,128175374336.0,385435992064.0,1
963,4478,3242,1793,18,1,1260,16,25,19,2,273900.975,104158.96875,-0.5712810158729553,10005653749760.0,351767789568.0,1
964,79,3060,0,317,4,610,7,13,34,62,363506.075,185070.8,-0.04284403845667839,36005113856.0,717263798272.0,1
965,187,3962,15,701,4,7892,96,94,57,38,128722.1625,117427.7,-0.6060485243797302,397253017600.0,1868974260224.0,1
966,907,2965,6,77,0,1322,1,14,19,62,384210.4,143322.45,-0.3233693838119507,236837109760.0,344187043840.0,1
967,8007,3334,55,418,27,372,86,46,58,87,152023.425,62385.85,-0.6820836663246155,1689029181440.0,2113382645760.0,1
968,7540,3390,818,163,7,5705,28,27,12,58,232758.55,73098.04375,-0.594642698764801,5708842008576.0,800010207232.0,1
969,363,3286,6,2,1,1322,2,90,37,46,274104.55,167721.75,-0.13951565325260162,142137606144.0,664906366976.0,1
970,944,3226,14,45,7,259,63,81,56,90,180738.325,114993.95,-0.47239911556243896,245459845120.0,1251877847040.0,1
971,100,3971,6,223,29,173,18,45,50,64,274832.275,136452.125,-0.4075789153575897,54439043072.0,1673355591680.0,1
972,112,2566,6,66,3,594,1,13,47,33,425067.4,256428.0,0.2900846302509308,71886077952.0,399749545984.0,1
973,8079,3267,63,465,20,380,99,81,56,94,113056.825,60068.6,-0.7027726173400879,1742814707712.0,2108293120000.0,1
974,3947,2932,505,19,1,1069,25,6,20,46,289845.6,98592.25625,-0.5834523439407349,3311691104256.0,403153813504.0,1
975,409,3905,3,1447,24,3986,1,60,55,94,256047.35,98120.98125,-0.4705981910228729,231967948800.0,2535231848448.0,1
976,65,3653,7,35,2,1652,56,35,16,60,261066.15,147193.925,-0.3503190875053406,107420147712.0,795861516288.0,1
977,104,3199,0,800,26,156,9,46,58,67,315745.65,175889.5125,-0.08660358190536499,23795200000.0,2033412866048.0,1
978,3697,3731,637,84,4,4848,19,94,36,9,187727.8,99034.0375,-0.5799328088760376,4081868341248.0,764589047808.0,1
979,2419,3883,40,851,21,277,90,21,51,95,184416.45,80947.09375,-0.6886067390441895,636004597760.0,2298000441344.0,1
980,7199,3922,510,332,5,684,38,44,0,92,207377.6875,69994.3875,-0.6055160164833069,3889353981952.0,1031880507392.0,1
981,904,3301,9,82,7,1812,24,89,75,89,201184.85,99434.0,-0.462496817111969,269550075904.0,1057260306432.0,1
982,447,3898,0,546,59,890,95,83,10,96,136623.7125,101973.775,-0.6228800415992737,110280966144.0,3543209082880.0,1
983,7779,3876,77,17,37,3764,99,78,38,94,114612.05,59436.6,-0.7000539302825928,1885719232512.0,2242701426688.0,1
984,112,3962,6,66,0,355,1,34,0,94,359704.875,137175.325,-0.36285269260406494,63167361024.0,478001856512.0,1
985,101,3270,1,493,7,393,89,15,21,77,247832.1,161498.95,-0.2838638722896576,37038718976.0,1514504454144.0,1
986,483,3992,0,943,7,157,25,61,18,68,236220.0,122394.7125,-0.524468719959259,89807994880.0,1658132365312.0,1
987,391,3905,2,1500,27,917,97,92,11,94,126780.225,102622.1875,-0.6157453656196594,111757434880.0,3365050253312.0,1
988,399,3001,1,78,0,746,2,13,50,37,421075.25,187119.425,-0.11152581125497818,101791997952.0,335202516992.0,1
989,892,3937,0,80,52,380,63,61,46,27,195269.35,130059.15,-0.6426678895950317,169141764096.0,2583831511040.0,1
990,64,3717,7,35,59,1676,63,92,0,60,181654.9875,145172.0,-0.3838372528553009,108121612288.0,2923244814336.0,1
991,8591,2454,1145,61,3,3667,0,58,55,62,233066.375,71009.5375,-0.4823257625102997,7491692789760.0,538603290624.0,1
992,8112,3237,1020,55,7,307,47,25,61,70,213081.0,67998.98125,-0.6200816631317139,6645736800256.0,853610856448.0,1
993,7287,3082,6,178,3,1362,57,14,19,65,212666.125,73278.0625,-0.6365537047386169,1348926701568.0,831610028032.0,1
994,10,3199,0,92,5,227,56,51,45,93,271614.7,182211.1,-0.06979437172412872,10021761024.0,1086844174336.0,1
995,8008,3246,1710,85,4,3059,78,52,12,4,157881.75,80190.6,-0.6724408268928528,10260823670784.0,924947775488.0,1
996,7235,2914,1144,83,0,1724,0,5,46,11,310576.05,85944.38125,-0.5481768250465393,7179640766464.0,233273655296.0,1
997,6391,3323,217,33,4,747,29,24,54,0,242086.85,90426.175,-0.5893368124961853,2250836279296.0,539623948288.0,1
998,4035,2798,873,91,0,2508,7,6,44,15,319073.9,101471.6375,-0.560766339302063,5263664873472.0,294809731072.0,1
999,8068,3289,249,578,6,7894,96,80,15,93,115294.1125,60242.8375,-0.7036731243133545,2967330881536.0,1710286438400.0,1
1000,4039,3978,509,300,4,7908,100,65,33,16,130906.7625,88217.7,-0.7100317478179932,3597672382464.0,1328941629440.0,1
1001,5760,3508,590,493,1,1917,91,50,12,91,154188.45,68607.35,-0.6919668912887573,4093433348096.0,1389861535744.0,1
1002,4425,3318,255,45,2,1260,32,23,42,5,250944.75,100774.54375,-0.595792829990387,2121869033472.0,510243766272.0,1
1003,8136,2838,198,74,3,578,14,10,44,33,268120.4,79987.7375,-0.5673453211784363,2451160432640.0,446380244992.0,1
1004,7795,2877,1,386,28,651,95,8,18,58,171217.7625,71811.96875,-0.6964930295944214,1385822027776.0,2011293286400.0,1
1005,3736,2615,43,19,3,596,25,33,12,48,253712.3,108409.1125,-0.5343262553215027,892264841216.0,563326877696.0,1
1006,8095,3846,1017,67,1,355,30,94,94,94,172301.675,61997.38125,-0.5932218432426453,6629168775168.0,842034774016.0,1
1007,379,3962,5,593,16,683,97,93,61,6,132137.4375,134932.975,-0.6283381581306458,116492173312.0,2144943079424.0,1
1008,116,2954,6,77,3,587,1,13,22,18,398171.425,237444.525,0.09283145517110825,72327036928.0,375311958016.0,1
1009,148,3154,1,35,4,723,0,50,45,45,335878.575,199297.275,0.0519978366792202,57258885120.0,573617733632.0,1
1010,27,3162,1,50,0,677,6,25,15,59,425371.1,207257.05,0.05844947695732117,34517118976.0,417657520128.0,1
1011,1024,3907,63,434,69,2676,94,80,28,94,132642.4625,87462.25625,-0.6988298296928406,598438379520.0,3721396748288.0,1
1012,7821,3258,1792,18,6,876,96,100,44,5,106431.525,79413.6875,-0.69859379529953,10568475869184.0,1186472394752.0,1
1013,839,3050,6,429,0,1837,29,73,19,49,247064.8,137062.9,-0.40410521626472473,243786874880.0,1072850010112.0,1
1014,4735,3898,50,398,37,2636,92,77,31,94,125685.1,67138.94375,-0.6947754621505737,1176430051328.0,2555212464128.0,1
1015,151,3977,1,339,26,348,24,46,61,65,261618.05,126679.0125,-0.44011208415031433,44101124096.0,1715761577984.0,1
1016,387,3930,1,590,16,725,2,25,50,57,304513.25,121833.5125,-0.4551265835762024,98936946688.0,1360888332288.0,1
1017,4508,3926,1649,45,2,1364,28,58,42,33,214500.4,88785.3625,-0.5910748243331909,9277390454784.0,634096386048.0,1
1018,3940,3938,1,80,60,3380,50,93,61,30,157419.875,87141.1375,-0.6269940137863159,814297645056.0,2782886625280.0,1
1019,388,3305,6,77,15,1270,0,11,18,77,346555.1,145403.825,-0.2687549293041229,144592633856.0,827259027456.0,1
1020,8068,3878,74,961,26,3752,99,78,24,94,113721.6625,59349.5125,-0.7063250541687012,1920230490112.0,2698034020352.0,1
1021,8048,2105,6,90,0,1723,2,37,31,94,282032.25,81902.8125,-0.30636361241340637,1494570762240.0,463943467008.0,1
1022,4163,2798,854,90,0,1587,7,5,44,15,320865.7,102425.24375,-0.559313178062439,5155069100032.0,290259009536.0,1
1023,8076,2809,782,93,4,2487,0,5,15,38,288244.1,79150.675,-0.5477325320243835,5500435955712.0,387599958016.0,1
1024,79,3577,0,194,3,610,6,50,35,62,296042.875,157579.3625,-0.27306443452835083,36005113856.0,727612063744.0,1
